branch,source,base,commit,status,endpoint,type,features,additions,deletions,old_path,path
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,A,pc,图片资源,首页/导航/版面、主题/颜色/静态资源,-,-,,pc/src/assets/images/photo-1.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,A,pc,图片资源,首页/导航/版面、主题/颜色/静态资源,-,-,,pc/src/assets/images/photo-2.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,A,pc,图片资源,首页/导航/版面、主题/颜色/静态资源,-,-,,pc/src/assets/images/photo-3.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,A,pc,图片资源,首页/导航/版面、主题/颜色/静态资源,-,-,,pc/src/assets/images/photo-4.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,A,pc,图片资源,首页/导航/版面、主题/颜色/静态资源,-,-,,pc/src/assets/images/photo-5.png
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/tg_bg1.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/tg_bg2.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/tg_bg3.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/tg_bg4.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/tg_bg5.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/tg_bg6.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/tg_bg7.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,D,pc,图片资源,主题/颜色/静态资源,-,-,,pc/src/assets/images/tg_bg8.jpg
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,组件,未归类路径,12,15,,pc/src/components/CurrencySwitch.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,组件,未归类路径,22,24,,pc/src/components/LanguageSwitch.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,页面,首页/导航/版面,109,149,,pc/src/views-v10/layout/SlideQuick.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,页面,首页/导航/版面,196,178,,pc/src/views-v10/layout/components/BaseHeader.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,页面,首页/导航/版面,182,173,,pc/src/views-v6/layout/components/BaseHeader.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,页面,首页/导航/版面,193,173,,pc/src/views-v8/layout/components/BaseHeader.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,页面,首页/导航/版面、聊天室/私聊,368,319,,pc/src/views/chatRoom/chatMain/chatPrivate/index.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,页面,首页/导航/版面,14,24,,pc/src/views/layout/child_modal/switchTemplate.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,页面,个人中心/账户,234,108,,pc/src/views/personalCenter/child_modal/expand/expand_me.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,页面,资金/充值/提现、个人中心/账户,1,1,,pc/src/views/personalCenter/child_modal/withdraw/bankPay.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,页面,资金/充值/提现、个人中心/账户,1,1,,pc/src/views/personalCenter/child_modal/withdraw/currencyPay.vue
origin/B312,远端,origin/BY-Demo-H5V2-PC,c77e01e0b,M,pc,主题样式,主题/颜色/静态资源,10630,10629,,pc/static/css/theme.less
origin/B313-5867,远端,origin/BY-Demo-H5V2-PC,c2307188c,M,h5-v2,构建配置,构建/配置,2,2,,h5-v2/docs/.vuepress/config.js
